year,industry_code,industry_name_en,variable,mean,n
2009,K,Real Estate,Lev,0.4646,57
2009,K,Real Estate,Cash,0.2344,57
2009,K,Real Estate,ROA,0.0242,57
2009,K,Real Estate,ROE,0.0927,57
2009,F,Wholesale/Retail,SLoan,0.0846,69
2009,F,Wholesale/Retail,LLoan,0.1185,67
2009,F,Wholesale/Retail,Lev,0.4478,69
2009,F,Wholesale/Retail,Cash,0.1532,69
2009,F,Wholesale/Retail,ROA,0.0408,69
2009,F,Wholesale/Retail,ROE,0.0764,69
2009,J,Finance,SLoan,0.0623,96
2009,J,Finance,LLoan,0.1392,96
2009,J,Finance,Lev,0.6168,96
2009,J,Finance,Cash,0.1726,96
2009,J,Finance,ROA,0.0381,96
2009,J,Finance,ROE,0.0963,96
2011,C,Manufacturing,SLoan,0.1225,1408
2011,C,Manufacturing,LLoan,0.0333,1395
2011,C,Manufacturing,Lev,0.4169,1408
2011,C,Manufacturing,Cash,0.2447,1408
2011,C,Manufacturing,ROA,0.0473,1408
2011,C,Manufacturing,ROE,0.0714,1408
2011,D,Power/Gas/Water,SLoan,0.1252,73
2011,D,Power/Gas/Water,LLoan,0.2121,73
2011,D,Power/Gas/Water,Lev,0.6079,73
2011,D,Power/Gas/Water,Cash,0.0998,73
2011,D,Power/Gas/Water,ROA,0.024,73
2011,D,Power/Gas/Water,ROE,0.0513,73
2011,G,Transport/Storage,SLoan,0.053,187
2011,G,Transport/Storage,LLoan,0.015,185
2011,G,Transport/Storage,Lev,0.3127,187
2011,G,Transport/Storage,Cash,0.4195,187
2011,G,Transport/Storage,ROA,0.0605,187
2011,G,Transport/Storage,ROE,0.0773,187
2011,E,Construction,SLoan,0.0988,49
2011,E,Construction,LLoan,0.0657,49
2011,E,Construction,Lev,0.652,49
2011,E,Construction,Cash,0.2138,49
2011,E,Construction,ROA,0.035,49
2011,E,Construction,ROE,0.1059,49
2011,K,Real Estate,SLoan,0.0717,73
2011,K,Real Estate,LLoan,0.0622,72
2011,K,Real Estate,Lev,0.3871,73
2011,K,Real Estate,Cash,0.2905,73
2011,K,Real Estate,ROA,0.0512,73
2011,K,Real Estate,ROE,0.0852,73
2011,F,Wholesale/Retail,SLoan,0.0674,76
2011,F,Wholesale/Retail,LLoan,0.1247,72
2011,F,Wholesale/Retail,Lev,0.4524,76
2011,F,Wholesale/Retail,Cash,0.1591,76
2011,F,Wholesale/Retail,ROA,0.0463,76
2011,F,Wholesale/Retail,ROE,0.08,76
2011,J,Finance,SLoan,0.0536,128
2011,J,Finance,LLoan,0.1268,127
2011,J,Finance,Lev,0.6264,128
2011,J,Finance,Cash,0.1319,128
2011,J,Finance,ROA,0.0324,128
2011,J,Finance,ROE,0.1052,128
2013,C,Manufacturing,SLoan,0.1162,1598
2013,C,Manufacturing,LLoan,0.0294,1595
2013,C,Manufacturing,Lev,0.4123,1598
2013,C,Manufacturing,Cash,0.1885,1598
2013,C,Manufacturing,ROA,0.0374,1598
2013,C,Manufacturing,ROE,0.0532,1598
2013,D,Power/Gas/Water,SLoan,0.1036,80
2013,D,Power/Gas/Water,LLoan,0.1751,80
2013,D,Power/Gas/Water,Lev,0.5701,80
2013,D,Power/Gas/Water,Cash,0.1034,80
2013,D,Power/Gas/Water,ROA,0.0406,80
2013,D,Power/Gas/Water,ROE,0.0886,80
2013,G,Transport/Storage,SLoan,0.0841,82
2013,G,Transport/Storage,LLoan,0.1083,82
2013,G,Transport/Storage,Lev,0.4603,82
2013,G,Transport/Storage,Cash,0.1353,82
2013,G,Transport/Storage,ROA,0.0338,82
2013,G,Transport/Storage,ROE,0.0676,82
2013,E,Construction,SLoan,0.1002,63
2013,E,Construction,LLoan,0.0735,62
2013,E,Construction,Lev,0.6862,63
2013,E,Construction,Cash,0.1709,63
2013,E,Construction,ROA,0.027,63
2013,E,Construction,ROE,0.0775,63
2013,K,Real Estate,SLoan,0.0528,135
2013,K,Real Estate,LLoan,0.1608,135
2013,K,Real Estate,Lev,0.6276,135
2013,K,Real Estate,Cash,0.1324,135
2013,K,Real Estate,ROA,0.0289,135
2013,K,Real Estate,ROE,0.0862,135
2013,F,Wholesale/Retail,SLoan,0.1308,154
2013,F,Wholesale/Retail,LLoan,0.0358,153
2013,F,Wholesale/Retail,Lev,0.5635,154
2013,F,Wholesale/Retail,Cash,0.2095,154
2013,F,Wholesale/Retail,ROA,0.031,154
2013,F,Wholesale/Retail,ROE,0.0732,154
2013,J,Finance,SLoan,0.006,43
2013,J,Finance,LLoan,0.0043,43
2013,J,Finance,Lev,0.7334,43
2013,J,Finance,Cash,0.1691,43
2013,J,Finance,ROA,0.0236,43
2013,J,Finance,ROE,0.1204,43
2015,C,Manufacturing,SLoan,0.1031,1795
2015,C,Manufacturing,LLoan,0.0261,1790
2015,C,Manufacturing,Lev,0.3959,1795
2015,C,Manufacturing,Cash,0.175,1795
2015,C,Manufacturing,ROA,0.0338,1795
2015,C,Manufacturing,ROE,0.0437,1795
2015,D,Power/Gas/Water,SLoan,0.0891,90
2015,D,Power/Gas/Water,LLoan,0.164,90
2015,D,Power/Gas/Water,Lev,0.5495,90
2015,D,Power/Gas/Water,Cash,0.1132,90
2015,D,Power/Gas/Water,ROA,0.0417,90
2015,D,Power/Gas/Water,ROE,0.0874,90
2015,G,Transport/Storage,SLoan,0.0593,84
2015,G,Transport/Storage,LLoan,0.1035,84
2015,G,Transport/Storage,Lev,0.4358,85
2015,G,Transport/Storage,Cash,0.131,85
2015,G,Transport/Storage,ROA,0.0445,85
2015,G,Transport/Storage,ROE,0.0821,85
2015,E,Construction,SLoan,0.1052,77
2015,E,Construction,LLoan,0.0588,77
2015,E,Construction,Lev,0.6428,78
2015,E,Construction,Cash,0.1628,78
2015,E,Construction,ROA,0.0246,78
2015,E,Construction,ROE,0.0677,78
2015,K,Real Estate,SLoan,0.0623,134
2015,K,Real Estate,LLoan,0.1405,134
2015,K,Real Estate,Lev,0.6385,134
2015,K,Real Estate,Cash,0.1435,134
