year,variable,mean,median,std,min,max,n
2006,LL,0.0919,0.0367,0.1472,0.0,1.0035,1524
2007,LL,0.0869,0.0406,0.1159,0.0,0.636,1628
2008,LL,0.0864,0.038,0.1168,0.0,0.5735,1689
2009,LL,0.0971,0.0436,0.1236,0.0,0.5665,1837
2010,LL,0.0865,0.034,0.1154,0.0,0.514,2186
2011,LL,0.0792,0.0292,0.1093,0.0,0.5103,2416
2012,LL,0.0829,0.0323,0.1099,0.0,0.5098,2586
2013,LL,0.0865,0.0384,0.107,0.0,0.4877,2640
2014,LL,0.0867,0.0428,0.1045,0.0,0.4671,2803
2015,LL,0.0832,0.0391,0.1022,0.0,0.4554,3098
2016,LL,0.0849,0.0438,0.1009,0.0001,0.4517,3226
2017,LL,0.082,0.0422,0.0973,0.0002,0.4509,3580
2018,LL,0.0823,0.0443,0.0965,0.0002,0.4577,3704
2019,LL,0.0847,0.0457,0.0988,0.0002,0.4761,3957
2020,LL,0.0836,0.0439,0.0999,0.0002,0.4878,4395
2021,LL,0.0865,0.0465,0.0987,0.0006,0.4708,4889
2022,LL,0.0888,0.0502,0.0992,0.0007,0.4641,5152
2023,LL,0.0944,0.0537,0.1028,0.0008,0.4675,5330
2024,LL,0.0947,0.0543,0.1038,0.0007,0.4772,5373
2000,SDR,0.0371,0.0,0.0706,0.0,0.3692,1156
2001,SDR,0.039,0.0006,0.0693,0.0,0.3625,1235
2002,SDR,0.0348,0.0,0.0669,0.0,0.3592,1295
2003,SDR,0.0306,0.0,0.0615,0.0,0.3483,1356
2004,SDR,0.031,0.0,0.059,0.0,0.3091,1440
2005,SDR,0.0345,0.0001,0.0603,0.0,0.3088,1440
2006,SDR,0.031,0.0,0.0543,0.0,0.2759,1508
2007,SDR,0.0305,0.0,0.0552,0.0,0.2882,1586
2008,SDR,0.0314,0.0002,0.0552,0.0,0.2818,1628
2009,SDR,0.0256,0.0,0.0438,0.0,0.2205,1778
2010,SDR,0.0282,0.0,0.0527,0.0,0.2848,2093
2011,SDR,0.0344,0.0,0.0605,0.0,0.2781,2350
2012,SDR,0.0273,0.0,0.0495,0.0,0.2424,2583
2013,SDR,0.0288,0.0,0.0531,0.0,0.2696,2632
2014,SDR,0.0339,0.0002,0.0618,0.0,0.3234,2800
2015,SDR,0.0316,0.0002,0.0565,0.0,0.2849,3090
2016,SDR,0.0572,0.0345,0.0695,0.0,0.3538,1904
2017,SDR,0.0601,0.0375,0.067,0.0,0.3339,1987
2018,SDR,0.0689,0.0422,0.0779,0.0,0.3858,2166
2019,SDR,0.0631,0.0421,0.0687,0.0,0.3394,2324
2020,SDR,0.0576,0.0363,0.0658,0.0001,0.3412,2526
2021,SDR,0.0449,0.0236,0.0565,0.0002,0.2942,4387
2022,SDR,0.0454,0.0238,0.0564,0.0002,0.2851,4761
2023,SDR,0.0483,0.0275,0.055,0.0002,0.2642,4973
2024,SDR,0.0517,0.029,0.0583,0.0002,0.2676,5046
2000,Cash,0.1594,0.1262,0.1267,0.0027,0.573,1173
2001,Cash,0.1733,0.1427,0.1235,0.0029,0.5589,1255
2002,Cash,0.1622,0.1353,0.1184,0.0034,0.5537,1315
2003,Cash,0.1584,0.1305,0.115,0.0028,0.551,1376
2004,Cash,0.1547,0.1249,0.1164,0.0018,0.5341,1463
2005,Cash,0.1393,0.1121,0.1092,0.0022,0.5249,1459
2006,Cash,0.1414,0.1149,0.1132,0.0005,0.5573,1546
2007,Cash,0.1569,0.1266,0.1263,0.0005,0.6253,1660
2008,Cash,0.1596,0.1274,0.127,0.0005,0.6506,1717
2009,Cash,0.2042,0.1552,0.1714,0.0005,0.7904,1865
2010,Cash,0.2493,0.1827,0.2026,0.0019,0.8524,2220
2011,Cash,0.2405,0.1794,0.1857,0.0016,0.7806,2456
2012,Cash,0.2222,0.1712,0.1672,0.0045,0.747,2586
2013,Cash,0.1883,0.1519,0.1379,0.0055,0.6583,2640
2014,Cash,0.1736,0.135,0.1312,0.0038,0.6374,2803
2015,Cash,0.1772,0.1442,0.1253,0.0044,0.6152,3098
2016,Cash,0.181,0.1486,0.127,0.0067,0.627,3435
2017,Cash,0.175,0.1412,0.1207,0.0156,0.5998,3800
2018,Cash,0.1641,0.1368,0.1133,0.0122,0.5639,3897
2019,Cash,0.1696,0.138,0.1233,0.0103,0.6189,4099
2020,Cash,0.1927,0.159,0.1366,0.0105,0.6536,4551
2021,Cash,0.1908,0.1566,0.1358,0.0117,0.6882,4970
2022,Cash,0.2,0.1636,0.1408,0.0132,0.681,5237
2023,Cash,0.2001,0.162,0.1433,0.0158,0.698,5398
2024,Cash,0.18,0.146,0.1289,0.0136,0.6312,5439
2000,ROA,0.0327,0.0442,0.0674,-0.3038,0.1524,1176
2001,ROA,0.0098,0.0322,0.1301,-1.0173,0.138,1258
2002,ROA,0.0083,0.0269,0.0984,-0.5707,0.1346,1319
2003,ROA,0.0089,0.0266,0.1184,-0.827,0.1537,1381
2004,ROA,0.0087,0.0254,0.1133,-0.683,0.1755,1468
2005,ROA,-0.0013,0.0213,0.118,-0.697,0.174,1464
2006,ROA,0.0168,0.0274,0.1026,-0.6562,0.1904,1547
2007,ROA,0.0441,0.0421,0.089,-0.4068,0.4132,1661
2008,ROA,0.023,0.0285,0.0998,-0.5105,0.3106,1717
2009,ROA,0.033,0.0359,0.0869,-0.4395,0.2463,1865
2010,ROA,0.05,0.0448,0.057,-0.1812,0.2459,2220
2011,ROA,0.0465,0.0441,0.0605,-0.2087,0.261,2456
2012,ROA,0.0387,0.0359,0.0541,-0.1883,0.2088,2586
2013,ROA,0.0382,0.0329,0.0555,-0.1807,0.2194,2640
2014,ROA,0.0368,0.0326,0.0546,-0.1963,0.1917,2803
2015,ROA,0.0348,0.0335,0.0595,-0.1911,0.1995,3098
2016,ROA,0.0426,0.0381,0.0558,-0.1769,0.2133,3435
2017,ROA,0.0462,0.042,0.0562,-0.1854,0.2159,3827
2018,ROA,0.024,0.0361,0.1179,-0.6896,0.2162,3930
2019,ROA,0.0233,0.0368,0.1205,-0.7039,0.2205,4135
2020,ROA,0.0321,0.0393,0.0929,-0.4428,0.2382,4589
2021,ROA,0.0362,0.042,0.0844,-0.3602,0.248,5012
2022,ROA,0.0276,0.0337,0.0756,-0.2686,0.229,5279
2023,ROA,0.0218,0.0284,0.0664,-0.2435,0.1789,5440
2024,ROA,0.0136,0.0229,0.0715,-0.2956,0.1626,5481
2000,ROE,0.052,0.0772,0.212,-1.2116,0.7047,1176
2001,ROE,0.0345,0.0615,0.2318,-1.2992,1.0161,1258
2002,ROE,0.0179,0.0586,0.232,-1.3331,0.6849,1319
2003,ROE,0.0437,0.059,0.2121,-1.1279,1.046,1381
2004,ROE,0.0059,0.0594,0.3844,-2.7131,0.9257,1468
2005,ROE,0.0035,0.0513,0.4165,-2.5526,1.5942,1464
2006,ROE,0.0617,0.0663,0.3314,-1.6977,1.8415,1547
2007,ROE,0.096,0.0874,0.2571,-1.2636,1.4715,1661
2008,ROE,0.0436,0.0663,0.2749,-1.5476,1.0649,1715
2009,ROE,0.065,0.0784,0.2372,-1.4614,0.9078,1865
2010,ROE,0.0934,0.0823,0.1223,-0.4814,0.5773,2219
2011,ROE,0.0785,0.0806,0.1414,-0.8089,0.4869,2456
2012,ROE,0.0719,0.0694,0.1146,-0.4268,0.6434,2586
2013,ROE,0.0643,0.0669,0.1247,-0.641,0.4216,2640
2014,ROE,0.06,0.0673,0.1327,-0.7892,0.3563,2803
2015,ROE,0.0547,0.0651,0.1378,-0.7031,0.4093,3098
2016,ROE,0.0698,0.0707,0.113,-0.534,0.4033,3435
2017,ROE,0.079,0.0783,0.1056,-0.4267,0.4302,3827
2018,ROE,0.0184,0.071,0.3437,-2.4898,0.4344,3930
2019,ROE,0.0276,0.0727,0.3126,-2.1812,0.598,4135
2020,ROE,0.0433,0.0756,0.2375,-1.4989,0.5617,4589
2021,ROE,0.0413,0.0775,0.2732,-1.877,0.7085,5012
2022,ROE,0.0349,0.0621,0.1932,-1.0807,0.5457,5279
2023,ROE,0.0218,0.0511,0.1673,-0.9158,0.3279,5440
2024,ROE,-0.0077,0.0434,0.2519,-1.7172,0.297,5481
2000,SLoan,0.1706,0.1474,0.1358,0.0,0.6904,1170
2001,SLoan,0.1834,0.1594,0.1488,0.0,0.8443,1252
2002,SLoan,0.1872,0.1655,0.1544,0.0,0.8974,1312
2003,SLoan,0.1973,0.1761,0.1649,0.0,1.0007,1373
2004,SLoan,0.197,0.1756,0.167,0.0,1.0392,1459
2005,SLoan,0.1965,0.1703,0.1721,0.0,1.0293,1454
2006,SLoan,0.1877,0.1604,0.1872,0.0,1.2798,1545
2007,SLoan,0.1663,0.1409,0.1594,0.0,0.96,1660
2008,SLoan,0.1567,0.1309,0.1473,0.0,0.8036,1717
2009,SLoan,0.1305,0.099,0.1338,0.0,0.6954,1865
2010,SLoan,0.1078,0.0688,0.1232,0.0,0.5742,2220
2011,SLoan,0.1062,0.0691,0.1185,0.0,0.5133,2456
2012,SLoan,0.1038,0.0674,0.1165,0.0,0.4898,2586
2013,SLoan,0.1048,0.0705,0.1133,0.0,0.4686,2640
2014,SLoan,0.0994,0.0666,0.106,0.0,0.449,2802
2015,SLoan,0.0945,0.0623,0.1031,0.0,0.436,3095
2016,SLoan,0.0809,0.0487,0.0934,0.0,0.4021,3425
2017,SLoan,0.1141,0.091,0.0964,0.0005,0.4488,2839
2018,SLoan,0.1164,0.0962,0.0958,0.0006,0.4451,3026
2019,SLoan,0.1105,0.0849,0.0973,0.0002,0.4392,3189
2020,SLoan,0.1005,0.0747,0.0939,0.0004,0.4522,3517
2021,SLoan,0.0934,0.0686,0.0888,0.0004,0.4154,3673
2022,SLoan,0.0877,0.0614,0.0862,0.0002,0.4145,3991
2023,SLoan,0.0822,0.0558,0.0818,0.0002,0.376,4140
2024,SLoan,0.0838,0.0582,0.0834,0.0001,0.3822,4229
2000,LLoan,0.0478,0.0175,0.067,0.0,0.306,1159
2001,LLoan,0.0522,0.0175,0.0749,0.0,0.3509,1244
2002,LLoan,0.0511,0.0165,0.0757,0.0,0.3569,1299
2003,LLoan,0.0544,0.0204,0.0796,0.0,0.3731,1362
2004,LLoan,0.057,0.0179,0.0842,0.0,0.3783,1445
2005,LLoan,0.0569,0.0167,0.0861,0.0,0.3846,1440
2006,LLoan,0.0586,0.0161,0.0888,0.0,0.4033,1519
2007,LLoan,0.0566,0.0132,0.0861,0.0,0.3719,1624
2008,LLoan,0.0589,0.0096,0.0931,0.0,0.4366,1684
2009,LLoan,0.0662,0.0122,0.1014,0.0,0.4626,1838
2010,LLoan,0.0591,0.0046,0.0978,0.0,0.4674,2185
2011,LLoan,0.0491,0.001,0.087,0.0,0.4227,2405
2012,LLoan,0.045,0.0,0.0819,0.0,0.3964,2585
2013,LLoan,0.0465,0.0007,0.0827,0.0,0.3983,2635
2014,LLoan,0.0438,0.0011,0.0784,0.0,0.3728,2799
2015,LLoan,0.0405,0.0004,0.074,0.0,0.3605,3086
2016,LLoan,0.0669,0.0357,0.0822,0.0,0.3774,1908
2017,LLoan,0.0728,0.0434,0.0825,0.0,0.4042,1953
2018,LLoan,0.0712,0.0443,0.0792,0.0,0.3864,2064
2019,LLoan,0.0713,0.045,0.0779,0.0,0.3797,2203
2020,LLoan,0.0742,0.0465,0.0826,0.0,0.4003,2387
2021,LLoan,0.0724,0.0446,0.0809,0.0001,0.3902,2592
2022,LLoan,0.0739,0.048,0.0801,0.0,0.3893,2930
2023,LLoan,0.0813,0.0537,0.0838,0.0002,0.4001,3068
2024,LLoan,0.0817,0.0543,0.084,0.0002,0.4008,3130
2000,Top1,,,,,,0
2001,Top1,,,,,,0
2002,Top1,,,,,,0
2003,Top1,0.4255,0.4128,0.1718,0.0106,0.85,1261
2004,Top1,0.4185,0.3991,0.1681,0.0224,0.85,1351
2005,Top1,0.4034,0.377,0.1622,0.0424,0.8498,1350
2006,Top1,0.3608,0.3355,0.15,0.0454,0.8375,1409
2007,Top1,0.3577,0.3383,0.1524,0.0082,0.8629,1511
2008,Top1,0.3639,0.3476,0.1549,0.0374,0.8642,1574
2009,Top1,0.3627,0.3397,0.1566,0.0364,0.862,1670
2010,Top1,0.3625,0.3425,0.1576,0.0184,0.8649,2014
2011,Top1,0.362,0.3433,0.1567,0.022,0.8941,2295
2012,Top1,0.3638,0.3451,0.1568,0.022,0.8941,2453
2013,Top1,0.3587,0.3395,0.1565,0.022,0.8941,2466
2014,Top1,0.3521,0.3329,0.1536,0.022,0.8941,2590
2015,Top1,0.3433,0.3238,0.1499,0.0029,0.8999,2806
2016,Top1,0.3354,0.314,0.148,0.0415,0.8909,3030
2017,Top1,0.3359,0.314,0.1461,0.0415,0.8909,3461
2018,Top1,0.3342,0.3106,0.1462,0.03,0.8909,3561
2019,Top1,0.3289,0.303,0.1471,0.03,0.8824,3753
2020,Top1,0.324,0.2998,0.1476,0.0287,0.8999,4132
2021,Top1,0.3229,0.299,0.1489,0.0243,0.8999,4677
2022,Top1,0.3206,0.2969,0.1484,0.0184,0.8999,5058
2023,Top1,0.3196,0.2952,0.15,0.0185,0.8999,5322
2024,Top1,,,,,,0
2000,HHI5,,,,,,0
2001,HHI5,,,,,,0
2002,HHI5,,,,,,0
2003,HHI5,0.2302,0.1979,0.1429,0.0229,0.6127,1261
2004,HHI5,0.2243,0.1889,0.1383,0.0254,0.5734,1351
2005,HHI5,0.2102,0.1726,0.1313,0.0252,0.5625,1350
2006,HHI5,0.1703,0.1398,0.1139,0.0176,0.5155,1409
2007,HHI5,0.1681,0.141,0.1159,0.0139,0.546,1511
2008,HHI5,0.1732,0.1459,0.1199,0.0131,0.5588,1574
2009,HHI5,0.1723,0.1428,0.1228,0.0127,0.5677,1670
2010,HHI5,0.1745,0.1471,0.1241,0.0119,0.5763,2014
2011,HHI5,0.1749,0.1499,0.1229,0.0123,0.5691,2295
2012,HHI5,0.1766,0.1486,0.1237,0.0129,0.579,2453
2013,HHI5,0.1716,0.141,0.1224,0.0134,0.5732,2466
2014,HHI5,0.1654,0.1347,0.1191,0.0122,0.5717,2590
2015,HHI5,0.1588,0.1309,0.1139,0.0124,0.555,2806
2016,HHI5,0.1536,0.1251,0.1103,0.0135,0.5418,3030
2017,HHI5,0.1554,0.1288,0.1094,0.0157,0.5461,3461
2018,HHI5,0.1543,0.1261,0.1094,0.0155,0.5425,3561
2019,HHI5,0.1512,0.1195,0.11,0.0151,0.5401,3753
2020,HHI5,0.148,0.116,0.1101,0.0131,0.535,4132
2021,HHI5,0.1474,0.1153,0.111,0.0127,0.5494,4677
2022,HHI5,0.1454,0.1141,0.1099,0.0116,0.5338,5058
2023,HHI5,0.1448,0.1131,0.1112,0.0107,0.5403,5322
2024,HHI5,,,,,,0
2000,Size,20.9435,20.877,0.8643,18.5561,25.5963,1176
2001,Size,21.0111,20.9372,0.9217,17.3894,26.6102,1258
2002,Size,21.0754,20.9909,0.9736,17.5534,26.6412,1319
2003,Size,21.1725,21.1037,1.0236,16.8843,26.9456,1381
2004,Size,21.2179,21.1329,1.0809,15.7594,27.1248,1468
2005,Size,21.265,21.1804,1.1194,17.1219,27.3218,1464
2006,Size,21.3245,21.23,1.2879,12.3143,29.6471,1547
2007,Size,21.4834,21.3564,1.4423,14.1581,29.7925,1661
2008,Size,21.5331,21.396,1.5076,10.8422,29.9091,1717
2009,Size,21.6058,21.4413,1.5584,11.3483,30.0979,1865
2010,Size,21.6767,21.4766,1.5404,13.076,30.2306,2220
2011,Size,21.7767,21.5709,1.5045,15.7152,30.3704,2456
2012,Size,21.8619,21.6565,1.4917,15.7294,30.4956,2586
2013,Size,21.9631,21.7591,1.4961,15.5773,30.5711,2640
2014,Size,22.0142,21.8438,1.5442,14.9416,30.6568,2803
2015,Size,22.0225,21.899,1.609,15.9792,30.7316,3098
2016,Size,22.0775,21.9816,1.6488,16.638,30.8148,3435
2017,Size,22.1074,21.9898,1.626,16.7971,30.8925,3827
2018,Size,22.1846,22.0455,1.6407,16.6492,30.9524,3930
2019,Size,22.2161,22.0435,1.637,17.2609,31.0359,4135
2020,Size,22.2134,21.9821,1.6037,16.4123,31.1379,4589
2021,Size,22.2648,22.002,1.5771,17.879,31.1913,5012
2022,Size,22.3193,22.0442,1.543,18.4292,31.3101,5279
2023,Size,22.353,22.058,1.5215,18.5788,31.4309,5440
2024,Size,22.361,22.0585,1.5206,18.1225,31.5192,5481
2000,Age,4.6607,4.0,2.412,1.0,11.0,1064
2001,Age,5.3424,5.0,2.5991,0.0,12.0,1145
2002,Age,6.0315,6.0,2.81,0.0,13.0,1207
2003,Age,6.7053,7.0,3.0531,0.0,14.0,1269
2004,Age,7.21,8.0,3.4071,0.0,15.0,1357
2005,Age,8.1182,9.0,3.4693,1.0,16.0,1354
2006,Age,8.6277,9.0,3.9023,0.0,17.0,1437
2007,Age,8.9233,10.0,4.4567,-15.0,18.0,1551
2008,Age,9.608,10.0,4.6888,-14.0,19.0,1607
2009,Age,9.7005,11.0,5.3027,-13.0,20.0,1756
2010,Age,9.0246,10.0,6.0881,-12.0,21.0,2111
2011,Age,9.092,9.0,6.401,-11.0,22.0,2347
2012,Age,9.6073,9.0,6.5622,-10.0,23.0,2478
2013,Age,10.3246,10.0,6.7331,-9.0,24.0,2532
2014,Age,10.5417,9.0,7.2434,-9.0,25.0,2695
2015,Age,10.2294,9.0,7.9649,-8.0,26.0,2991
2016,Age,10.0772,8.0,8.2945,-7.0,27.0,3328
2017,Age,9.979,8.0,8.4654,-6.0,28.0,3720
2018,Age,10.6638,9.0,8.5164,-5.0,29.0,3825
2019,Age,11.06,10.0,8.6292,-4.0,30.0,4033
2020,Age,10.8568,10.0,8.8616,-3.0,31.0,4490
2021,Age,10.8558,8.0,9.0102,-2.0,32.0,4916
2022,Age,11.119,8.0,9.0957,-1.0,33.0,5187
2023,Age,11.6171,9.0,9.1641,0.0,34.0,5349
2024,Age,12.5131,9.0,9.1368,0.0,35.0,5301
